document,,,,,,,,,
PMID/PM,Publisher,Journal tit,Article titl,COST (£) charged to Wellcome (inc VAT when charged),,,,,
PMID:236,Company,Journal of,Cell wall s,£2000.00,,,,,
PMID:235,Copyright,Internatio,C-type lec,£2775.23,,,,,
PMC3687256,CSHLP,Learning a,Schema-d,£1314.81,,,,,
,,,,,,,,,
NA,CUP,Journal of,Stuck in r,£2034.00,,,,,
NA,CUP,Journal of,Tarmackin,£2034.00,,,,,
NA,CUP,Journal of,Pharmacy,£999999.00,,,,,
e-pub ,CUP,Psycholog,The meth,£2034.00,,,,,
in press -,CUP,Psycholog,Depressio,£2034.00,,,,,
NA,CUP,Psycholog,Atypical I,£2034.00,,,,,
PMC37330,CUP,Public He,Maternal,£2034.00,,,,,
PMID: 239,Darmouth,Cell Repo,Localizati,£3154.01,,,,,
PMC3545681,Dartmout,American,Obesity is,£1891.19,,,,,
PMC36529,Dartmout,American,DNA met,£1953.76,,,,,
PMC36447,Dartmout,Cell Press,Definition,£3884.40,,,,,
PMC36072,Dartmout,Cell Repo,Tcf15 pri,£3242.21,,,,,
PMC36756,Dartmout,Cell Repo,A role for,£3882.41,,,,,
PMC36072,Dartmout,Cell Repo,Structure,£3906.55,,,,,
PMC36173,Dartmout,Cell Repo,Inhibition,£3967.99,,,,,
PMCID:P,Dartmout,Cell Repo,c-Myc Ind,£3995.74,,,,,
3564995,Dartmout,G3: Genes,How to de,£1230.67,,,,,
PMC28811,Dartmout,GENETICS,Distinct re,£790.93,,,,,
PMC35840,Dartmout,Genetics ,Estimatin,£1197.72,,,,,
23319734 :,Dartmout,J Immuno,Mitochon,£772.13,,,,,
PMID:234,Dartmout,Journal of,Candida a,£1932.69,,,,,
2766312,Dartmout,Proceedin,Analysis o,£1241.10,,,,,
PMC35111,Dartmout,Proceedin,SGTA anta,£603.42,,,,,
3704016,Dartmout,Proceedin,Inositol ki,£660.59,,,,,
PMC36074,Dartmout,The Journ,GRB2-Me,£2025.65,,,,,
3549224,Dartmout,J Immunol,Chronic E,£1926.45,,,,,
PMC38081,Dartmout,Cell Repo,The 5S RN,£3712.80,,,,,
3738233,Dartmout,Journal of,Genetic v,£2594.13,,,,,
3549118,Dartmout,PNAS,CTLA-4 co,£625.00,,,,,
23672768,Elseveier,Neuroima,Gearing u,£1758.89,,,,,
23046981,Elseveier,Neuroima,Good prac,£2345.00,,,,,
PMC3378987,Elsevier,Academy,Parent su,£2379.54,,,,,
PMID: 239,Elsevier,American,The epide,£2404.53,,,,,
PMC35165,Elsevier,American,Mutations,£2296.94,,,,,
PMC37699,Elsevier,American,Mutations,£2334.41,,,,,
PMC35918,Elsevier,American,Constituti,£2434.04,,,,,
3567269,Elsevier,American,LRIG2 Mut,£3938.82,,,,,
PMID: 228,Elsevier,American,Physical a,£2377.65,,,,,
PMID: 231,Elsevier,American,Financial i,£2377.65,,,,,
PMCID: P,Elsevier,Analytical,An expres,£2381.62,,,,,
PMC37914,Elsevier,Animal Be,Metabolic,£1806.38,,,,,
PMC37633,Elsevier,Animal Be,Faecal av,£1816.38,,,,,
Not yet av,Elsevier,Applied E,Associatio,£2377.65,,,,,
In Process,Elsevier,Asian Jour,The expla,£2014.59,,,,,
PMCID: P,Elsevier,Asian Jour,Outcomes,£2423.27,,,,,
NA,Elsevier,Atheroscl,HGF/c-Me,£2317.94,,,,,
PMC35665,Elsevier,Atheroscl,Increased,£2404.27,,,,,
PMC37877,Elsevier,BBA - Mol,Mutations,£2366.57,,,,,
PMC30511,Elsevier,Behavior,Clarifying,£2212.09,,,,,
PMC31124,Elsevier,Behavior,Therapist,£2335.37,,,,,
PMC36620,Elsevier,Behaviour,Enhanced,£2269.53,,,,,
PMC36620,Elsevier,Behaviour,Enhanced,£2269.53,,,,,
PMC3590452,Elsevier,Behaviour,The telom,£2298.35,,,,,
,,,,,,,,,
PMCID:,Elsevier,Biochemi,Differenti,£1475.40,,,,,
    PMC3759847,,,,,,,,,
PMID:223,Elsevier,Biochemi,Biochemi,£2246.40,,,,,
PMC36942,Elsevier,Biochemi,11?-Hydro,£2961.92,,,,,
PMID: 234,Elsevier,Biochimic,The social,£2476.42,,,,,
PMID: 230,Elsevier,Biochimic,The hered,£2307.23,,,,,
PMC37938,Elsevier,Biochimic,Serotonin,£2370.96,,,,,
NA,Elsevier,Biochimic,Mitophag,£2415.37,,,,,
PMC35859,Elsevier,Biochimie,11?-Hydro,£2315.48,,,,,
PMC33149,Elsevier,Biological,COMT Val,£2142.93,,,,,
PMID: 232,Elsevier,Biological,Neural an,£2330.13,,,,,
PMID: 234,Elsevier,Biological,Counterfa,£2429.17,,,,,
PMID: 235,Elsevier,Biological,Enhanced,£2469.95,,,,,
PMC35802,Elsevier,BIOLOGIC,The catechol-O-methyltransferase gene (COMT) and cognitive function from childhood through adolescence,£2435.38,,,,,
PMC35200,Elsevier,Biomateri,Incorpora,£2329.03,,,,,
PMCID:,Elsevier,Biomateri,The Effect,£2466.39,,,,,
    PMC3605579,,,,,,,,,
PMC36770,Elsevier,Biosyste,Informati,£2863.73,,,,,
3526774,Elsevier,Bone,The High,£2295.39,,,,,
3607215,Elsevier,Bone,Male mic,£2328.43,,,,,
PMCID:,Elsevier,Bone,Therapeu,£2451.81,,,,,
    PMC3590448,,,,,,,,,
PMC35494,Elsevier,Brain and,An fMRI I,£2345.19,,,,,
PMC3661989,Elsevier,Brain and,Exploring,£2457.25,,,,,
,,,,,,,,,
PMC3730055,Elsevier,Brain and,Dissociati,£1456.18,,,,,
,,,,,,,,,
PMC3639368,Elsevier,Brain and,Current th,£2498.61,,,,,
,,,,,,,,,
NA,Elsevier,Brain Res,Fibronecti,£2272.21,,,,,
23246923,Elsevier,Brain Res,Electroph,£2539.89,,,,,
PMC36446,Elsevier,Cancer Le,Snail2 pro,£2515.57,,,,,
PMCID:,Elsevier,Cell,Genome s,£1366.08,,,,,
    PMC3732391,,,,,,,,,
PMC34200,Elsevier,Cell,Small-mol,£3208.69,,,,,
PMC33265,Elsevier,Cell,Histone r,£3948.42,,,,,
PMC36505,Elsevier,Cell,Mapping t,£4163.88,,,,,
PMCID: P,Elsevier,Cell,piRNAs ca,£999999.00,,,,,
19324410,Elsevier,Cell Calci,TRPchann,£2363.14,,,,,
PMCID:,Elsevier,Cell Host,The Salm,£3838.88,,,,,
    PMC3510437,,,,,,,,,
PMCID: P,Elsevier,Cell Journ,Exit from,£4041.05,,,,,
PMCID: P,Elsevier,Cell Meta,AMP Is a T,£3783.81,,,,,
PMCID: P,Elsevier,Cell Meta,Dynamic,£3904.46,,,,,
PMID: 230,Elsevier,Cell Repo,Develop,£3100.01,,,,,
PMC36072,Elsevier,Cell Repo,Asymmet,£3836.32,,,,,
PMC36295,Elsevier,Cell Stem,Short telo,£3352.04,,,,,
PMID: 230,Elsevier,Cell Stem,Signalling,£3716.09,,,,,
PMID: 230,Elsevier,Cellular Si,Functiona,£2267.26,,,,,
PMCID: P,Elsevier,Cellular Si,Analysis o,£2400.93,,,,,
PMC36505,Elsevier,Chemsitry,A Yeast C,£2184.22,,,,,
PMC36943,Elsevier,Clinical N,Next gen,£2455.82,,,,,
PMC34776,Elsevier,Clinical Ra,Chest radi,£2262.30,,,,,
NA,Elsevier,Cognition,Belief-bas,£1473.92,,,,,
print in pr,Elsevier,Cognitive,Develop,£1439.45,,,,,
PMC3719211,Elsevier,Conscious,The devel,£2386.47,,,,,
,,,,,,,,,
23773550,Elsevier,Conscious,Do infants,£1319.74,,,,,
PMID:231,Elsevier,Conscious,Exploring,£2330.13,,,,,
NA,Elsevier,Cortex,Assessing,£1758.99,,,,,
3664921,Elsevier,Cortex,"Working,",£2058.64,,,,,
Epub ahe,Elsevier,Cortex,Available,£2345.19,,,,,
Published,Elsevier,Cortex,The hippo,£2351.06,,,,,
Epub ahe,Elsevier,Cortex,Sight and,£2420.79,,,,,
PMID: 231,Elsevier,Current Bi,Substrate,£3213.28,,,,,
PMC33968,Elsevier,Current Bi,Neural cir,£3635.15,,,,,
PMCID: 35,ELSEVIER,CURRENT,BLOC-3 M,£3798.93,,,,,
PMID: 229,Elsevier,Current Bi,Distinct a,£3830.32,,,,,
PMCID: P,Elsevier,Current Bi,NAADP ac,£3857.16,,,,,
PMC35104,Elsevier,Current Bi,Brain stru,£3879.05,,,,,
PMC35802,Elsevier,Current Bi,Vinculin r,£3883.86,,,,,
PMC3566480,Elsevier,Current Bi,M1 cortic,£3992.37,,,,,
,,,,,,,,,
PMC33565,Elsevier,Current Bi,Disrupted,£348.33,,,,,
PMC36619,Elsevier,Current Bi,Locomoti,£4077.52,,,,,
NA,Elsevier,Current Bi,A fovea fo,£4112.54,,,,,
NA,Elsevier,Current O,Analysing,£2378.95,,,,,
23932517,Elsevier,Current O,The asexu,£2979.00,,,,,
PMID: 232,Elsevier,Current O,Updating,£2429.17,,,,,
PMCID: 34,ELSEVIER,DEVELOP,SMCHD1-,£3630.64,,,,,
PMCID: P,Elsevier,Develop,The mech,£1981.38,,,,,
PMC34148,Elsevier,Develop,Forkhead,£2987.00,,,,,
PMC35076,Elsevier,Develop,Rab25 and,£3575.88,,,,,
NA,Elsevier,Develop,Changes i,£3781.63,,,,,
PMID: 231,Elsevier,Develop,Molecular,£3845.38,,,,,
NA,Elsevier,Develop,The Neur,£3877.46,,,,,
3178012,Elsevier,Develop,Brat prom,£3877.48,,,,,
3782659,Elsevier,Develop,Autoregul,£3975.75,,,,,
NA,Elsevier,Develop,Chromoso,£364.17,,,,,
PMC37300,Elsevier,Develop,Daughter,£4002.42,,,,,
PMC3659288,Elsevier,Develop,Hec1-dep,£4076.38,,,,,
,,,,,,,,,
3605578,Elsevier,Develop,Syndecan,£4099.71,,,,,
Epub ahe,Elsevier,Develop,The influe,£1764.06,,,,,
PMC3682176,Elsevier,Develop,Predicting,£2457.25,,,,,
,,,,,,,,,
3525856,Elsevier,Diagnosti,Comparis,£2252.53,,,,,
22155499,Elsevier,Elsevier,Age relat,£2152.76,,,,,
20800751,Elsevier,Elsevier,The role o,£2174.85,,,,,
24064150,Elsevier,Elsevier,Birth stat,£2198.03,,,,,
23620154,Elsevier,Elsevier,Transform,£2269.15,,,,,
22591621,Elsevier,Elsevier,Are slum,£2312.30,,,,,
21680110,Elsevier,Elsevier,Clinician a,£2470.86,,,,,
23541370,Elsevier,Elsevier,Effects of,£4800.00,,,,,
NA,Elsevier,Endeavou,Understa,£2419.71,,,,,
-,Elsevier,Endeavou,Family inf,£615.72,,,,,
PMC3682189,Elsevier,Epilepsy R,Assessing,£2483.12,,,,,
,,,,,,,,,
,,,,,,,,,
PMC35267,Elsevier,European,"Vinculin,",£2228.00,,,,,
PMC35267,Elsevier,European,Array Co,£2281.08,,,,,
23707654,Elsevier,European,The inter,£2468.50,,,,,
3791403,Elsevier,European,Systemati,£2325.59,,,,,
PMC36327,Elsevier,Experime,Perturbati,£999999.00,,,,,
PMC3562441,Elsevier,Experime,"Ccl2, Cx3r",£2395.43,,,,,
,,,,,,,,,
PMID:232,Elsevier,Experime,Gene Set,£2328.24,,,,,
PMCID: P,Elsevier,Experime,The late r,£1771.93,,,,,
PMC35567,Elsevier,Experime,ErbB1 epi,£2380.28,,,,,
23183165,Elsevier,Experime,Develop,£2329.56,,,,,
PMID: 235,Elsevier,Experime,Cell densi,£2441.16,,,,,
NA,Elsevier,FEBS Lett,Ca2+-calm,£2228.00,,,,,
PMCID: P,Elsevier,FEBS Lett,Sialic acid,£2244.57,,,,,
NA,Elsevier,Febs Lett,Structural,£2362.82,,,,,
PMCID: P,Elsevier,FEBS Lett,IFN? auto,£2465.93,,,,,
23650598  ,Elsevier,FEBS Ope,'CD248 ex,£1254.25,,,,,
PMC35028,Elsevier,Fertility a,Is early ag,£2169.98,,,,,
PMC36794,Elsevier,Fertility a,Impact of,£2373.76,,,,,
PMC36794,Elsevier,Fertility a,Developi,£2373.76,,,,,
3684770,Elsevier,Free Radi,S[+]apom,£1755.59,,,,,
3605576,Elsevier,Fungal Bi,Expressio,£2272.01,,,,,
PMC38099,Elsevier,Fungal Ec,Species-s,£2378.19,,,,,
PMC35076,Elsevier,Gastroent,Intestinal,£2228.00,,,,,
PMC36881,Elsevier,Gene,Identifica,£2406.10,,,,,
PMCID: P,Elsevier,GENE,Dissecting,£2445.23,,,,,
PMC37254,Elsevier,Gene,Identifica,£2468.74,,,,,
PMC3725417,Elsevier,Gene The,Gene ther,£2446.97,,,,,
,,,,,,,,,
NA,Elsevier,Health &,Determin,£1836.92,,,,,
PMID: 23376730 PMC3591252,Elsevier,Health an,Is the env,£1749.74,,,,,
3690473,Elsevier,Immnuno,Regulatio,£2317.94,,,,,
PMC35567,Elsevier,Immunity,The Trans,£3799.84,,,,,
PMCID:     PMC3664922,Elsevier,Immunity,Dysregula,£4069.66,,,,,
PMC36847,Elsevier,Immunol,Sources o,£2961.92,,,,,
PMC 3438,Elsevier,Infection,The emer,£1770.62,,,,,
23137753,Elsevier,Int Journa,Flow cyto,£2294.00,,,,,
PMC34078,Elsevier,Internatio,Treatmen,£1413.88,,,,,
NA,Elsevier,Internatio,Functiona,£1410.00,,,,,
NA,Elsevier,Internatio,Mapping t,£2330.12,,,,,
NA,Elsevier,Internatio,Lipidomic,£2384.53,,,,,
PMC38199,Elsevier,Internatio,Mortality,£1128.42,,,,,
PMC38196,Elsevier,Internatio,Defining c,£2384.22,,,,,
PMID: 239,Elsevier,Internatio,Cardiopro,£2406.73,,,,,
PMC35723,Elsevier,Internatio,Proteome,£2386.44,,,,,
PMC34725,Elsevier,J Mol Biol,Structural,£2264.20,,,,,
23291110,ELSEVIER,J Steroid,The struct,£2322.57,,,,,
PMC33432,Elsevier,Journal of,Predictors,£2283.58,,,,,
PMC31611,Elsevier,Journal of,The effect,£2323.49,,,,,
PMC31611,Elsevier,Journal of,Healthcar,£2357.04,,,,,
PMC37813,Elsevier,Journal of,Prevalenc,£1530.77,,,,,
PMC35267,Elsevier,JOURNAL,Functiona,£2277.79,,,,,
PMC35267,Elsevier,JOURNAL,CRACM/,£2277.80,,,,,
PMCID: P,Elsevier,Journal of,Inflamma,£1914.82,,,,,
23806636,Elsevier,Journal of,Prenatal a,£2320.04,,,,,
NA,Elsevier,Journal of,Reduced t,£2382.49,,,,,
NA,Elsevier,Journal of,Food and,£2470.01,,,,,
PMC36175,Elsevier,Journal of,Organic g,£2243.55,,,,,
NA,Elsevier,Journal of,Contextu,£1442.64,,,,,
PMC35452,Elsevier,Journal of,Imagery i,£2332.60,,,,,
PMC35664,Elsevier,Journal of,Cognitive,£2375.14,,,,,
NA,Elsevier,Journal of,Systemati,£1955.21,,,,,
PMC37938,Elsevier,Journal of,Ecological,£2486.13,,,,,
PMID:236,Elsevier,Journal of,Extensive,£2396.85,,,,,
PMCID: P,Elsevier,Journal of,Gamma H,£2328.24,,,,,
PMC37109,Elsevier,Journal of,Pathogen,£2366.57,,,,,
NA,Elsevier,Journal of,The maki,£596.46,,,,,
PMC35802,Elsevier,Journal of,Evaluatio,£2293.37,,,,,
PMID:230,Elsevier,Journal of,The preva,£2286.09,,,,,
PMCID: PMC3466423,Elsevier,Journal of,Frequenc,£2696.34,,,,,
PMC34374,Elsevier,Journal of,Selective,£2192.89,,,,,
23318955  ,Elsevier,Journal of,Sequence,£2372.01,,,,,
PMCID: P,Elsevier,Journal of,A “mecha,£2455.82,,,,,
PMCID:P,Elsevier,Journal of,A Compar,£1442.48,,,,,
PMCID: P,Elsevier,Journal of,Registrati,£2420.16,,,,,
PMCID: P,Elsevier,Journal of,Examinin,£2321.23,,,,,
Epub ahe,Elsevier,Journal of,Persistent,£999999.00,,,,,
PMCID: P,Elsevier,Journal of,Cleaning,£2471.41,,,,,
PMC37145,Elsevier,Journal of,Quantitati,£2980.36,,,,,
PMC31377,Elsevier,Journal of,Cells und,£1939.95,,,,,
PMC34773,Elsevier,Journal of,Automati,£1939.95,,,,,
PMC34773,Elsevier,Journal of,How vacci,£1939.95,,,,,
PMC34773,Elsevier,Journal of,Recording,£1939.95,,,,,
PMC34773,Elsevier,Journal of,xtalPiMS:,£1939.95,,,,,
PMC34773,Elsevier,Journal of,From SPI,£1939.95,,,,,
PMC33553,Elsevier,Journal of,Cryo-elec,£2284.19,,,,,
3698441,Elsevier,Journal of,A method,£2328.43,,,,,
PMCID:P,Elsevier,Journal of,Irritable,£2409.80,,,,,
PMCID:,Elsevier,Journal of,The Relati,£1528.17,,,,,
    PMC3677086,,,,,,,,,
PMC35600,Elsevier,Journal of,The m.329,£2404.27,,,,,
Not yet av,Elsevier,Journal of,The factor,£1188.83,,,,,
PMC34700,Elsevier,Journal of,A plate-b,£2165.92,,,,,
PMID: 239,Elsevier,Journal of,Herpes si,£1577.90,,,,,
PMID: 239,Elsevier,Journal of,Glycoprot,£1577.91,,,,,
NA,Elsevier,Lancet,Global tre,£4800.00,,,,,
PMID:235,Elsevier,Lancet Gl,Stroke ris,£3678.78,,,,,
PMC36176,Elsevier,Learning a,Understa,£2302.93,,,,,
PMC36115,Elsevier,Matrix Bio,Synthesis,£2272.01,,,,,
PMC36115,Elsevier,Matrix Bio,An experi,£2272.01,,,,,
NA,Elsevier,Matrix Bio,The cell bi,£2272.01,,,,,
NA,Elsevier,Maturitas,Age at nat,£2320.35,,,,,
PMC37109,Elsevier,Mechanis,Assessme,£1758.59,,,,,
PMC38180,Elsevier,Mechanis,Ocular par,£1769.78,,,,,
PMID:235,Elsevier,Microbes,Dectin-1 p,£2863.73,,,,,
PMC34843,Elsevier,Microbes,The role o,£2283.00,,,,,
22906508,Elsevier,Mol Bio,Sirtuins of,£2215.00,,,,,
PMID:232,Elsevier,Molecluar,Periconce,£999999.00,,,,,
PMC36943,Elsevier,Molecular,Translatio,£1737.96,,,,,
PMC34733,Elsevier,Molecular,Conforma,£2233.26,,,,,
PMID:237,Elsevier,Molecular,Endocrine,£1750.81,,,,,
PMC35665,Elsevier,Molecular,Ghrelin a,£2253.66,,,,,
PMC36505,Elsevier,Molecular,FGF signal,£2433.48,,,,,
PMCID: 37,ELSEVIER,MOLECUL,FULL-LEN,£2331.54,,,,,
PMCID: P,Elsevier,Molecular,Endoplas,£3722.39,,,,,
PMCID: P,Elsevier,Molecular,Identifica,£4148.39,,,,,
PMC35947,Elsevier,Molecular,Bax Exists,£999999.00,,,,,
PMCID: P,Elsevier,Molecular,Kinetocho,£999999.00,,,,,
PMC36821,Elsevier,Molecular,Retinal th,£1766.37,,,,,
PMID:231,Elsevier,Molecular,Antigen p,£2282.76,,,,,
PMID:232,Elsevier,Molecular,A tale of t,£2302.13,,,,,
PMID: 231,Elsevier,Molecular,A novel p,£2307.23,,,,,
PMCID: P,Elsevier,Molecular,Adaptin e,£2424.03,,,,,
PMC33839,Elsevier,N Biotech,Expressing the human proteome for affinity proteomics: optimising expression of soluble protein domains and in vivo biotinylation.,£2030.16,,,,,
PMID: 229,Elsevier,Neurobiol,A touch sc,£2292.64,,,,,
PMID:236,Elsevier,Neurobiol,Frailty an,£2387.49,,,,,
PMC3601331,Elsevier,Neurobiol,White ma,£2396.57,,,,,
,,,,,,,,,
,,,,,,,,,
PMC37134,Elsevier,Neurobiol,Structural,£2408.68,,,,,
PMC3629567,Elsevier,Neurobiol,Screening,£2415.37,,,,,
,,,,,,,,,
PMC3629571,Elsevier,Neurobiol,Tau acts a,£2415.37,,,,,
,,,,,,,,,
,,,,,,,,,
PMC3657696,Elsevier,Neurobiol,Widespre,£2415.37,,,,,
,,,,,,,,,
,,,,,,,,,
PMC36847,Elsevier,Neurobiol,Tau phosp,£2420.16,,,,,
PMID: 187,Elsevier,Neurobiol,The val15,£2218.55,,,,,
PMID: 233,Elsevier,Neurobiol,Dissociati,£2397.64,,,,,
PMC35505,Elsevier,Neuroche,Glucocere,£2281.08,,,,,
NA,Elsevier,Neuroche,Rasagiline,£2415.37,,,,,
PMC3734349,Elsevier,Neuroima,Connectiv,£1747.16,,,,,
PMC3734350,Elsevier,NeuroIma,The impac,£1760.94,,,,,
PMC3734351,Elsevier,NeuroIma,Distinct e,£1762.69,,,,,
PMC3734352,Elsevier,NeuroIma,Parcellati,£1762.69,,,,,
NA,Elsevier,Neuroima,Characteri,£1779.76,,,,,
PMC36770,Elsevier,Neuroima,Neural co,£1961.25,,,,,
PMCID: P,Elsevier,Neuroima,Dynamic c,£2100.54,,,,,
PMCID: P,Elsevier,Neuroima,Action sel,£2118.57,,,,,
PMCID: P,Elsevier,Neuroima,Consisten,£2142.80,,,,,
PMCID: PMC3549495,Elsevier,Neuroima,Identifica,£2224.47,,,,,
PMID: 230,Elsevier,NeuroIma,5-HTTLPR,£2280.14,,,,,
PMC3590453,Elsevier,Neuroima,Structural,£2298.35,,,,,
,,,,,,,,,
PMC35200,Elsevier,NeuroIma,Anatomic,£2314.32,,,,,
PMC35471,Elsevier,NeuroIma,Dynamic,£2326.43,,,,,
PMCID:,Elsevier,NeuroIma,Complex,£2343.65,,,,,
PMC3708127,Elsevier,NeuroIma,Articulato,£2382.88,,,,,
,,,,,,,,,
23194819  ,Elsevier,NeuroIma,A quantit,£2385.25,,,,,
PMC35665,Elsevier,Neuroima,Network,£2395.43,,,,,
PMC3610031,Elsevier,NeuroIma,Network r,£2395.87,,,,,
,,,,,,,,,
PMC3566546,Elsevier,Neuroima,Investigat,£2396.57,,,,,
,,,,,,,,,
PMC3682182,Elsevier,Neuroima,Early visu,£2420.79,,,,,
,,,,,,,,,
PMC3591253,Elsevier,Neuroima,Movemen,£2432.33,,,,,
,,,,,,,,,
PMC36821,Elsevier,NeuroIma,A multiva,£2445.75,,,,,
PMC3605597,Elsevier,NeuroIma,The impac,£2466.45,,,,,
,,,,,,,,,
,,,,,,,,,
PMC3613798,Elsevier,NeuroIma,Functiona,£2484.23,,,,,
,,,,,,,,,
PMC3625122,Elsevier,NeuroIma,Auditory,£2503.34,,,,,
,,,,,,,,,
,,,,,,,,,
PMC3625125,Elsevier,Neuroima,Set-level,£2503.34,,,,,
,,,,,,,,,
,,,,,,,,,
NA,Elsevier,Neuroima,Disrupted,£1003.57,,,,,
NA,Elsevier,Neuroima,A compari,£1127.84,,,,,
NA,Elsevier,Neuroima,Multipara,£1198.13,,,,,
NA,Elsevier,NeuroIma,Predicting,£987.75,,,,,
NA,Elsevier,NeuroIma,Assessing,£1168.54,,,,,
23845426,Elsevier,Neurolma,Reliable q,£1819.51,,,,,
23085109,Elsevier,Neurolma,A pitfall i,£2518.23,,,,,
PMC38415,Elsevier,Neuromu,Initial dev,£2274.90,,,,,
PMC34278,Elsevier,Neuron,The LIM-H,£3608.34,,,,,
PMC37529,Elsevier,Neuron,Neural pri,£3742.98,,,,,
NA,Elsevier,Neuron,Nanoscal,£3997.71,,,,,
PMC3580285,Elsevier,Neuron,the emer,£4012.03,,,,,
,,,,,,,,,
,,,,,,,,,
PMC37483,Elsevier,Neuron,Attention,£4105.34,,,,,
2875410,Elsevier,Neuron,Distinct c,£4170.35,,,,,
PMC34582,Elsevier,Neuron,An agent i,£623.43,,,,,
PMC37784,Elsevier,Neuropha,Influence,£2488.17,,,,,
PMC37784,Elsevier,Neuropha,Recovery,£2980.36,,,,,
PMC3546162,Elsevier,Neuropha,Methamp,£1063.31,,,,,
,,,,,,,,,
PMCID: P,Elsevier,Neurophy,"Time, acti",£2142.80,,,,,
PMC3724054,Elsevier,Neuropsy,Agnosia f,£1431.77,,,,,
,,,,,,,,,
PMC37029,Elsevier,Neuropsy,The role o,£1442.21,,,,,
Pub July 2,Elsevier,Neuropsy,Unimpair,£1457.21,,,,,
PMID:240,Elsevier,Neuropsy,Improved,£1464.88,,,,,
PMC35573,Elsevier,Neuropsy,It does no,£2336.17,,,,,
PMC3611598,Elsevier,Neuropsy,Neuroana,£2494.82,,,,,
,,,,,,,,,
,,,,,,,,,
23178227,Elsevier,Neuropsy,Distinct S,£2535.62,,,,,
PMC37461,Elsevier,Neuroscie,The relati,£2451.49,,,,,
PMID:235,Elsevier,Neuroscie,APPAR? a,£2491.54,,,,,
PMC37461,Elsevier,Neuroscie,The relati,£2303.16,,,,,
PMCID: P,Elsevier,Neuroscie,Innovativ,£2413.80,,,,,
PMC37254,Elsevier,Neuroscie,NMDA rec,£1444.07,,,,,
PMC35567,Elsevier,Neuroscie,Deletion,£2333.71,,,,,
NA,Elsevier,Neuroscie,Study of t,£2415.37,,,,,
PMC27793,Elsevier,Nitric Oxi,What is th,£2220.99,,,,,
PMC36943,Elsevier,Ophthalm,Epilation f,£1953.76,,,,,
3560059,Elsevier,Osteoarth,New tools,£2295.39,,,,,
PMC35494,Elsevier,Pain,Amygdala,£2330.99,,,,,
23707280,Elsevier,Pain,Functiona,£2377.17,,,,,
not yet pu,Elsevier,Pain,Focus on,£2394.21,,,,,
3763373,Elsevier,Pain,Endogeno,£2404.04,,,,,
PMCID: P,Elsevier,Parkinson,Coactivati,£2251.56,,,,,
23892176,Elsevier,Parsitolog,Using lym,£2058.96,,,,,
PMC31492,Elsevier,Personalit,Developi,£2357.04,,,,,
PMID: 233,Elsevier,Preventiv,Incorpora,£1160.62,,,,,
PMID: 229,Elsevier,Preventiv,Associatio,£1188.83,,,,,
PMCID: P,Elsevier,Preventiv,Associatio,£1273.15,,,,,
PMCID: P,Elsevier,Preventiv,Parent aw,£2321.23,,,,,
PMID: 227,Elsevier,Preventiv,Is active tr,£2377.65,,,,,
PMCID: P,Elsevier,Preventiv,Is wearing,£2475.13,,,,,
PMC34458,Elsevier,Protein Ex,Analysis o,£1938.38,,,,,
PMC34055,Elsevier,Protist,A Trypano,£2177.87,,,,,
PMID: 233,Elsevier,Public He,Associatio,£2321.23,,,,,
PMCID:,Elsevier,Pulmonar,Pre-Clinic,£2421.77,,,,,
    PMC3763377,,,,,,,,,
PMC36327,Elsevier,RESEARCH,Bluetong,£2476.85,,,,,
PMID: 217,Elsevier,Schizophr,A quantit,£2222.09,,,,,
PMID: 227,Elsevier,Schizophr,Childhoo,£2222.09,,,,,
PMC36729,Elsevier,Seizure,Co-morbi,£2369.70,,,,,
PMCID: P,Elsevier,Seminars,Adjuvant,£2379.79,,,,,
PMC36756,Elsevier,Social Sci,The impac,£2392.77,,,,,
PMC36116,Elsevier,Social Sci,Towards a,£1189.77,,,,,
PMC36116,Elsevier,Social Sci,Healthy tr,£1189.77,,,,,
PMC 3560,Elsevier,Social Sci,The social,£1836.92,,,,,
PMCID:,Elsevier,Social Sci,Househol,£2281.51,,,,,
    PMC3512055,,,,,,,,,
,,,,,,,,,
PMID2328,Elsevier,Social Sci,We view t,£2480.56,,,,,
3223522,Elsevier,Stem Cell,Density of,£2215.76,,,,,
PMC35267,Elsevier,Structure,Structures,£3628.83,,,,,
PMID:236,Elsevier,Structure,Wzi Is an,£3748.00,,,,,
PMCID: P,Elsevier,Structure,Functiona,£3832.72,,,,,
PMCID: P,Elsevier,Structure,RNA terti,£3899.19,,,,,
PMCID: P,Elsevier,Structure,Structure,£4072.42,,,,,
PMCID: P,Elsevier,Structure,The archit,£4095.97,,,,,
3635120,Elsevier,Studies in,Making sp,£2467.88,,,,,
-,Elsevier,Studies in,Natural Hi,£2395.00,,,,,
PMC36619,Elsevier,Tetrahedr,An E/Z co,£1457.41,,,,,
23375655  ,Elsevier,The Amer,Identifica,£2433.90,,,,,
PMCID313,Elsevier,The Amer,Inactivati,£1773.74,,,,,
PMC31698,Elsevier,The Amer,Homozyg,£2080.69,,,,,
PMC34846,Elsevier,The Amer,Discovery,£3714.29,,,,,
PMCID:P,Elsevier,The Inter,Testotero,£2410.82,,,,,
NA,Elsevier,The Journ,Changing,£2488.17,,,,,
PMC35259,Elsevier,The Lance,Dementia,£4320.00,,,,,
NA,Elsevier,The Lance,The impac,£4554.01,,,,,
